stockid,stocklong,scientificname,catch-1960,b_bmsy-1960,u_umsy-1960,catch-1961,b_bmsy-1961,u_umsy-1961,catch-1962,b_bmsy-1962,u_umsy-1962,catch-1963,b_bmsy-1963,u_umsy-1963,catch-1964,b_bmsy-1964,u_umsy-1964,catch-1965,b_bmsy-1965,u_umsy-1965,catch-1966,b_bmsy-1966,u_umsy-1966,catch-1967,b_bmsy-1967,u_umsy-1967,catch-1968,b_bmsy-1968,u_umsy-1968,catch-1969,b_bmsy-1969,u_umsy-1969,catch-1970,b_bmsy-1970,u_umsy-1970,catch-1971,b_bmsy-1971,u_umsy-1971,catch-1972,b_bmsy-1972,u_umsy-1972,catch-1973,b_bmsy-1973,u_umsy-1973,catch-1974,b_bmsy-1974,u_umsy-1974,catch-1975,b_bmsy-1975,u_umsy-1975,catch-1976,b_bmsy-1976,u_umsy-1976,catch-1977,b_bmsy-1977,u_umsy-1977,catch-1978,b_bmsy-1978,u_umsy-1978,catch-1979,b_bmsy-1979,u_umsy-1979,catch-1980,b_bmsy-1980,u_umsy-1980,catch-1981,b_bmsy-1981,u_umsy-1981,catch-1982,b_bmsy-1982,u_umsy-1982,catch-1983,b_bmsy-1983,u_umsy-1983,catch-1984,b_bmsy-1984,u_umsy-1984,catch-1985,b_bmsy-1985,u_umsy-1985,catch-1986,b_bmsy-1986,u_umsy-1986,catch-1987,b_bmsy-1987,u_umsy-1987,catch-1988,b_bmsy-1988,u_umsy-1988,catch-1989,b_bmsy-1989,u_umsy-1989,catch-1990,b_bmsy-1990,u_umsy-1990,catch-1991,b_bmsy-1991,u_umsy-1991,catch-1992,b_bmsy-1992,u_umsy-1992,catch-1993,b_bmsy-1993,u_umsy-1993,catch-1994,b_bmsy-1994,u_umsy-1994,catch-1995,b_bmsy-1995,u_umsy-1995,catch-1996,b_bmsy-1996,u_umsy-1996,catch-1997,b_bmsy-1997,u_umsy-1997,catch-1998,b_bmsy-1998,u_umsy-1998,catch-1999,b_bmsy-1999,u_umsy-1999,catch-2000,b_bmsy-2000,u_umsy-2000,catch-2001,b_bmsy-2001,u_umsy-2001,catch-2002,b_bmsy-2002,u_umsy-2002,catch-2003,b_bmsy-2003,u_umsy-2003,catch-2004,b_bmsy-2004,u_umsy-2004,catch-2005,b_bmsy-2005,u_umsy-2005,catch-2006,b_bmsy-2006,u_umsy-2006,catch-2007,b_bmsy-2007,u_umsy-2007,catch-2008,b_bmsy-2008,u_umsy-2008,catch-2009,b_bmsy-2009,u_umsy-2009,catch-2010,b_bmsy-2010,u_umsy-2010,catch-1912,b_bmsy-1912,u_umsy-1912,catch-1913,b_bmsy-1913,u_umsy-1913,catch-1914,b_bmsy-1914,u_umsy-1914,catch-1915,b_bmsy-1915,u_umsy-1915,catch-1916,b_bmsy-1916,u_umsy-1916,catch-1917,b_bmsy-1917,u_umsy-1917,catch-1918,b_bmsy-1918,u_umsy-1918,catch-1919,b_bmsy-1919,u_umsy-1919,catch-1920,b_bmsy-1920,u_umsy-1920,catch-1921,b_bmsy-1921,u_umsy-1921,catch-1922,b_bmsy-1922,u_umsy-1922,catch-1923,b_bmsy-1923,u_umsy-1923,catch-1924,b_bmsy-1924,u_umsy-1924,catch-1925,b_bmsy-1925,u_umsy-1925,catch-1926,b_bmsy-1926,u_umsy-1926,catch-1927,b_bmsy-1927,u_umsy-1927,catch-1928,b_bmsy-1928,u_umsy-1928,catch-1929,b_bmsy-1929,u_umsy-1929,catch-1930,b_bmsy-1930,u_umsy-1930,catch-1931,b_bmsy-1931,u_umsy-1931,catch-1932,b_bmsy-1932,u_umsy-1932,catch-1933,b_bmsy-1933,u_umsy-1933,catch-1934,b_bmsy-1934,u_umsy-1934,catch-1935,b_bmsy-1935,u_umsy-1935,catch-1936,b_bmsy-1936,u_umsy-1936,catch-1937,b_bmsy-1937,u_umsy-1937,catch-1938,b_bmsy-1938,u_umsy-1938,catch-1939,b_bmsy-1939,u_umsy-1939,catch-1940,b_bmsy-1940,u_umsy-1940,catch-1941,b_bmsy-1941,u_umsy-1941,catch-1942,b_bmsy-1942,u_umsy-1942,catch-1943,b_bmsy-1943,u_umsy-1943,catch-1944,b_bmsy-1944,u_umsy-1944,catch-1945,b_bmsy-1945,u_umsy-1945,catch-1946,b_bmsy-1946,u_umsy-1946,catch-1947,b_bmsy-1947,u_umsy-1947,catch-1948,b_bmsy-1948,u_umsy-1948,catch-1949,b_bmsy-1949,u_umsy-1949,catch-1950,b_bmsy-1950,u_umsy-1950,catch-1951,b_bmsy-1951,u_umsy-1951,catch-1952,b_bmsy-1952,u_umsy-1952,catch-1953,b_bmsy-1953,u_umsy-1953,catch-1954,b_bmsy-1954,u_umsy-1954,catch-1955,b_bmsy-1955,u_umsy-1955,catch-1956,b_bmsy-1956,u_umsy-1956,catch-1957,b_bmsy-1957,u_umsy-1957,catch-1958,b_bmsy-1958,u_umsy-1958,catch-1959,b_bmsy-1959,u_umsy-1959,catch-2011,b_bmsy-2011,u_umsy-2011,catch-2012,b_bmsy-2012,u_umsy-2012,catch-2013,b_bmsy-2013,u_umsy-2013,catch-2014,b_bmsy-2014,u_umsy-2014,catch-2015,b_bmsy-2015,u_umsy-2015,catch-2016,b_bmsy-2016,u_umsy-2016,catch-1800,b_bmsy-1800,u_umsy-1800,catch-1801,b_bmsy-1801,u_umsy-1801,catch-1802,b_bmsy-1802,u_umsy-1802,catch-1803,b_bmsy-1803,u_umsy-1803,catch-1804,b_bmsy-1804,u_umsy-1804,catch-1805,b_bmsy-1805,u_umsy-1805,catch-1806,b_bmsy-1806,u_umsy-1806,catch-1807,b_bmsy-1807,u_umsy-1807,catch-1808,b_bmsy-1808,u_umsy-1808,catch-1809,b_bmsy-1809,u_umsy-1809,catch-1810,b_bmsy-1810,u_umsy-1810,catch-1811,b_bmsy-1811,u_umsy-1811,catch-1812,b_bmsy-1812,u_umsy-1812,catch-1813,b_bmsy-1813,u_umsy-1813,catch-1814,b_bmsy-1814,u_umsy-1814,catch-1815,b_bmsy-1815,u_umsy-1815,catch-1816,b_bmsy-1816,u_umsy-1816,catch-1817,b_bmsy-1817,u_umsy-1817,catch-1818,b_bmsy-1818,u_umsy-1818,catch-1819,b_bmsy-1819,u_umsy-1819,catch-1820,b_bmsy-1820,u_umsy-1820,catch-1821,b_bmsy-1821,u_umsy-1821,catch-1822,b_bmsy-1822,u_umsy-1822,catch-1823,b_bmsy-1823,u_umsy-1823,catch-1824,b_bmsy-1824,u_umsy-1824,catch-1825,b_bmsy-1825,u_umsy-1825,catch-1826,b_bmsy-1826,u_umsy-1826,catch-1827,b_bmsy-1827,u_umsy-1827,catch-1828,b_bmsy-1828,u_umsy-1828,catch-1829,b_bmsy-1829,u_umsy-1829,catch-1830,b_bmsy-1830,u_umsy-1830,catch-1831,b_bmsy-1831,u_umsy-1831,catch-1832,b_bmsy-1832,u_umsy-1832,catch-1833,b_bmsy-1833,u_umsy-1833,catch-1834,b_bmsy-1834,u_umsy-1834,catch-1835,b_bmsy-1835,u_umsy-1835,catch-1836,b_bmsy-1836,u_umsy-1836,catch-1837,b_bmsy-1837,u_umsy-1837,catch-1838,b_bmsy-1838,u_umsy-1838,catch-1839,b_bmsy-1839,u_umsy-1839,catch-1840,b_bmsy-1840,u_umsy-1840,catch-1841,b_bmsy-1841,u_umsy-1841,catch-1842,b_bmsy-1842,u_umsy-1842,catch-1843,b_bmsy-1843,u_umsy-1843,catch-1844,b_bmsy-1844,u_umsy-1844,catch-1845,b_bmsy-1845,u_umsy-1845,catch-1846,b_bmsy-1846,u_umsy-1846,catch-1847,b_bmsy-1847,u_umsy-1847,catch-1848,b_bmsy-1848,u_umsy-1848,catch-1849,b_bmsy-1849,u_umsy-1849,catch-1850,b_bmsy-1850,u_umsy-1850,catch-1851,b_bmsy-1851,u_umsy-1851,catch-1852,b_bmsy-1852,u_umsy-1852,catch-1853,b_bmsy-1853,u_umsy-1853,catch-1854,b_bmsy-1854,u_umsy-1854,catch-1855,b_bmsy-1855,u_umsy-1855,catch-1856,b_bmsy-1856,u_umsy-1856,catch-1857,b_bmsy-1857,u_umsy-1857,catch-1858,b_bmsy-1858,u_umsy-1858,catch-1859,b_bmsy-1859,u_umsy-1859,catch-1860,b_bmsy-1860,u_umsy-1860,catch-1861,b_bmsy-1861,u_umsy-1861,catch-1862,b_bmsy-1862,u_umsy-1862,catch-1863,b_bmsy-1863,u_umsy-1863,catch-1864,b_bmsy-1864,u_umsy-1864,catch-1865,b_bmsy-1865,u_umsy-1865,catch-1866,b_bmsy-1866,u_umsy-1866,catch-1867,b_bmsy-1867,u_umsy-1867,catch-1868,b_bmsy-1868,u_umsy-1868,catch-1869,b_bmsy-1869,u_umsy-1869,catch-1870,b_bmsy-1870,u_umsy-1870,catch-1871,b_bmsy-1871,u_umsy-1871,catch-1872,b_bmsy-1872,u_umsy-1872,catch-1873,b_bmsy-1873,u_umsy-1873,catch-1874,b_bmsy-1874,u_umsy-1874,catch-1875,b_bmsy-1875,u_umsy-1875,catch-1876,b_bmsy-1876,u_umsy-1876,catch-1877,b_bmsy-1877,u_umsy-1877,catch-1878,b_bmsy-1878,u_umsy-1878,catch-1879,b_bmsy-1879,u_umsy-1879,catch-1880,b_bmsy-1880,u_umsy-1880,catch-1881,b_bmsy-1881,u_umsy-1881,catch-1882,b_bmsy-1882,u_umsy-1882,catch-1883,b_bmsy-1883,u_umsy-1883,catch-1884,b_bmsy-1884,u_umsy-1884,catch-1885,b_bmsy-1885,u_umsy-1885,catch-1886,b_bmsy-1886,u_umsy-1886,catch-1887,b_bmsy-1887,u_umsy-1887,catch-1888,b_bmsy-1888,u_umsy-1888,catch-1889,b_bmsy-1889,u_umsy-1889,catch-1890,b_bmsy-1890,u_umsy-1890,catch-1891,b_bmsy-1891,u_umsy-1891,catch-1892,b_bmsy-1892,u_umsy-1892,catch-1893,b_bmsy-1893,u_umsy-1893,catch-1894,b_bmsy-1894,u_umsy-1894,catch-1895,b_bmsy-1895,u_umsy-1895,catch-1896,b_bmsy-1896,u_umsy-1896,catch-1897,b_bmsy-1897,u_umsy-1897,catch-1898,b_bmsy-1898,u_umsy-1898,catch-1899,b_bmsy-1899,u_umsy-1899,catch-1900,b_bmsy-1900,u_umsy-1900,catch-1901,b_bmsy-1901,u_umsy-1901,catch-1902,b_bmsy-1902,u_umsy-1902,catch-1903,b_bmsy-1903,u_umsy-1903,catch-1904,b_bmsy-1904,u_umsy-1904,catch-1905,b_bmsy-1905,u_umsy-1905,catch-1906,b_bmsy-1906,u_umsy-1906,catch-1907,b_bmsy-1907,u_umsy-1907,catch-1908,b_bmsy-1908,u_umsy-1908,catch-1909,b_bmsy-1909,u_umsy-1909,catch-1910,b_bmsy-1910,u_umsy-1910,catch-1911,b_bmsy-1911,u_umsy-1911,catch-2017,b_bmsy-2017,u_umsy-2017,tsn,commonname,areaid,region,inmyersdb,myersstockid,country,areatype,areacode,areaname,alternateareaname,isscaap_group_name,isscaap_group_number
ACADRED2J3K,Acadian redfish NAFO-2J3K,Sebastes fasciatus,33000,NA,NA,20000,NA,NA,9300,NA,NA,3360,NA,NA,5120,NA,NA,9600,NA,NA,7130,NA,NA,5540,NA,NA,4130,NA,NA,3170,NA,NA,4290,NA,NA,3710,NA,NA,3350,NA,NA,3350,NA,NA,6930,NA,NA,5670,NA,NA,4730,NA,NA,5370,NA,NA,4330,NA,NA,8010,NA,NA,8930,NA,NA,4660,NA,NA,5880,NA,NA,5760,NA,NA,4840,NA,NA,7000,NA,NA,7880,NA,NA,6320,NA,NA,3830,NA,NA,1400,NA,NA,667,NA,NA,486,NA,NA,99.2,NA,NA,50.2,NA,NA,20.2,NA,NA,10.8,NA,NA,0.2,NA,NA,0.3,NA,NA,3,NA,NA,13.1,NA,NA,12.5,NA,NA,7.9,NA,NA,6.3,NA,NA,11.7,NA,NA,23.7,NA,NA,32,NA,NA,54.7,NA,NA,72.3,NA,NA,56.9,NA,NA,48.7,NA,NA,48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 166774,Acadian redfish,Canada-DFO-2J3K,Canada East Coast,0,NA,Canada,DFO,2J3K,NAFO Division 2J3K,NA,NA,NA
ACADRED3LNO-UT12,Acadian redfish Units 1-2 and NAFO-3LNO,Sebastes fasciatus,36000,NA,NA,37000,NA,NA,34000,NA,NA,43000,NA,NA,44000,NA,NA,59000,NA,NA,64000,NA,NA,83000,NA,NA,65000,NA,NA,91000,NA,NA,83000,NA,NA,100000,NA,NA,89000,NA,NA,100000,NA,NA,67000,NA,NA,72000,NA,NA,52000,NA,NA,38000,NA,NA,32000,NA,NA,39000,NA,NA,40000,NA,NA,44000,NA,NA,41000,NA,NA,34000,NA,NA,42000,NA,NA,41000,NA,NA,49000,NA,NA,92000,NA,NA,86000,NA,NA,58000,NA,NA,60000,NA,NA,62000,NA,NA,69000,NA,NA,59000,NA,NA,28000,NA,NA,10000,NA,NA,14000,NA,NA,10000,NA,NA,18000,NA,NA,22000,NA,NA,16000,NA,NA,23000,NA,NA,19000,NA,NA,20000,NA,NA,7000,NA,NA,14000,NA,NA,15000,NA,NA,8000,NA,NA,6000,NA,NA,9000,NA,NA,9000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 166774,Acadian redfish,Canada-DFO-3LNO-UT12,Canada East Coast,0,NA,Canada,DFO,3LNO-UT12,NAFO Division 3LNO and Units 1 and 2,NA,NA,NA
ACADREDGOMGB,Acadian redfish Gulf of Maine / Georges Bank,Sebastes fasciatus,11400,0.469,2.32,14100,0.463,2.92,14100,0.451,3,10000,0.445,2.15,8310,0.45,1.76,8060,0.459,1.67,8570,0.469,1.74,10900,0.475,2.18,6780,0.482,1.34,12500,0.487,2.42,16700,0.471,3.34,20000,0.437,4.33,19100,0.39,4.58,17400,0.342,4.75,10500,0.306,3.25,10600,0.282,3.67,10700,0.261,4.06,13200,0.239,5.32,14100,0.21,6.55,14800,0.177,8.26,10200,0.145,6.42,7920,0.121,6.08,6900,0.102,6.53,5330,0.0859,6.06,4790,0.0741,6.24,4280,0.0644,6.63,2930,0.0579,5.14,1890,0.0559,3.24,1180,0.0576,1.98,669,0.0624,1.07,639,0.0694,0.912,2040,0.0637,15.9,978,0.0547,1.79,1050,0.0628,1.77,546,0.0742,1.18,631,0.0914,0.758,689,0.116,0.67,432,0.149,0.308,586,0.189,0.344,383,0.236,0.163,488,0.286,0.165,728,0.34,0.202,494,0.395,0.118,564,0.454,0.118,523,0.517,0.0966,665,0.585,0.108,648,0.657,0.0947,1160,0.732,0.152,1370,0.812,0.161,1670,0.897,0.177,1850,0.992,0.179,NA,NA,NA,7,2.35,2.63e-4,30,2.35,0.00132,40,2.35,0.00158,53,2.35,0.00211,82,2.35,0.00342,73,2.35,0.00289,25,2.35,0.00105,31,2.35,0.00132,13,2.35,5.26e-4,9,2.35,2.63e-4,7,2.35,2.63e-4,40,2.35,0.00158,25,2.35,0.00105,30,2.36,0.00132,30,2.36,0.00132,57,2.36,0.00237,34,2.36,0.00132,54,2.36,0.00211,108,2.36,0.00421,60,2.36,0.00237,120,2.37,0.00474,519,2.37,0.0205,7550,2.36,0.302,23200,2.31,0.946,14800,2.24,0.623,20600,2.19,0.891,25400,2.11,1.14,26800,2.03,1.25,50800,1.91,2.53,55900,1.74,3.07,48300,1.57,2.94,50400,1.41,3.41,37900,1.28,2.83,42400,1.16,3.5,40200,1.04,3.69,43600,0.927,4.52,30700,0.825,3.57,34300,0.746,4.42,30100,0.667,4.34,21400,0.61,3.36,16800,0.578,2.78,13000,0.561,2.21,13900,0.551,2.41,14400,0.539,2.55,18500,0.52,3.4,16000,0.497,3.09,15500,0.479,3.1,2220,1.1,0.197,4150,1.22,0.329,3970,1.34,0.28,5090,1.17,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 166774,Acadian redfish,USA-NMFS-5YZ,US East Coast,0,NA,USA,NMFS,5YZ,Gulf of Maine / Georges Bank,NA,NA,NA
